Année du Baccalauréat;Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
2024;Sciences de la vie et de la Terre Spécialité,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Génie civil;8;5.0;0
2024;Sciences de la vie et de la Terre Spécialité,Humanités, Littérature et Philosophie;Licence Mathématiques et informatique;0;0.0;0
2024;Sciences de la vie et de la Terre Spécialité,Humanités, Littérature et Philosophie;Licence Sciences de l éducation;380;220.0;57
2024;Sciences de la vie et de la Terre Spécialité,Langues, littératures et cultures étrangères et régionales;Ecoles de Commerce;130;60.0;37
2024;Sciences de la vie et de la Terre Spécialité,Sciences Economiques et Sociales Spécialité;Ecoles d'ingénieurs;159;57.0;26
2024;Sciences de la vie et de la Terre Spécialité,Sciences Economiques et Sociales Spécialité;Licence LEA;626;473.0;95
2024;Sciences de la vie et de la Terre Spécialité,Sciences Economiques et Sociales Spécialité;PASS;1778;498.0;197
2024;Sciences de la vie et de la Terre Spécialité,Sciences de l'ingénieur et sciences physiques;CUPGE;0;0.0;0
2024;Art,Biologie/Ecologie;BUT Production;1;0.0;0
2024;Art,Biologie/Ecologie;Licence Langues et littératures françaises;0;0.0;0
2024;Art,Biologie/Ecologie;Licence Pluri Lettres - Sciences du langage - Arts;0;0.0;0
2024;Art,Histoire-Géographie, Géopolitique et Sciences politiques;CUPGE;1;0.0;0
2024;Art,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Pluri Sciences;16;7.0;2
2024;Art,Humanités, Littérature et Philosophie;CPGE L;487;351.0;169
2024;Art,Humanités, Littérature et Philosophie;Licence Pluri Lettres - Sciences du langage - Arts;84;57.0;7
2024;Art,Langues, littératures et cultures étrangères et régionales;Ensemble des bacheliers;7048;6214.0;4845
2024;Art,Langues, littératures et cultures étrangères et régionales;Licence Mécanique, Génie mécanique, Ingénierie mécanique;4;0.0;0
2024;Art,Langues, littératures et cultures étrangères et régionales;Licence Sciences de l information et de la communication;383;208.0;66
2024;Art,Mathématiques Spécialité;D.E  social;13;4.0;3
2024;Art,Numérique et Sciences Informatiques;CUPGE;0;0.0;0
2024;Art,Numérique et Sciences Informatiques;Licence Pluri Langues;0;0.0;0
2024;Art,Numérique et Sciences Informatiques;Licence Pluri Sciences fondamentales et applications;0;0.0;0
2024;Art,Numérique et Sciences Informatiques;Licence Pluri Sciences économiques - Gestion;16;8.0;1
2024;Art,Numérique et Sciences Informatiques;Licence Psychlogie, Sciences cognitives;27;12.0;7
2024;Art,Numérique et Sciences Informatiques;Licence Sciences politiques;0;0.0;0
2024;Art,Physique-Chimie Spécialité;BTS Service;179;100.0;46
2024;Art,Physique-Chimie Spécialité;BUT Production;68;37.0;9
2024;Art,Physique-Chimie Spécialité;D.E sanitaire;15;5.0;3
2024;Art,Sciences Economiques et Sociales Spécialité;CPGE S;63;7.0;5
2024;Art,Sciences Economiques et Sociales Spécialité;Licence Langues et littératures étrangères;245;202.0;59
2024;Art,Sciences de l'ingénieur et sciences physiques;Licence Physique;1;1.0;0
2024;Art,Sciences de la vie et de la Terre Spécialité;D.E  social;26;13.0;11
2024;Art,Sciences de la vie et de la Terre Spécialité;Licence Informatique;23;2.0;0
2024;Art,Sciences de la vie et de la Terre Spécialité;Licence Pluri Sciences humaines et sociales;8;2.0;0
2024;Art,Sciences de la vie et de la Terre Spécialité;Licence Sciences politiques;5;1.0;0
2024;Art,Éducation physique, pratiques et culture sportives;CPGE ECG;0;0.0;0
2024;Art,Éducation physique, pratiques et culture sportives;Licence Pluri Lettres - Langues - Sciences humaines;1;0.0;0
2024;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;BUT Production;1;1.0;0
2024;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Histoire;7;6.0;1
2024;Biologie/Ecologie,Histoire-Géographie, Géopolitique et Sciences politiques;Licence Sciences de la vie, biologie, santé;3;0.0;0
2024;Biologie/Ecologie,Humanités, Littérature et Philosophie;Licence AES;0;0.0;0
2024;Biologie/Ecologie,Humanités, Littérature et Philosophie;Licence Informatique;0;0.0;0
2024;Biologie/Ecologie,Humanités, Littérature et Philosophie;Licence Pluri Lettres - Sciences du langage - Arts;1;1.0;0
2024;Biologie/Ecologie,Humanités, Littérature et Philosophie;Licence STAPS;0;0.0;0
2024;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;Ecoles d'ingénieurs;0;0.0;0
2024;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;Licence Pluri Sciences humaines et sociales;0;0.0;0
2024;Biologie/Ecologie,Langues, littératures et cultures étrangères et régionales;Licence Sciences de la vie, biologie, santé;2;1.0;0
2024;Biologie/Ecologie,Mathématiques Spécialité;Licence Histoire;23;21.0;7
2024;Biologie/Ecologie,Numérique et Sciences Informatiques;BTS Agricole;0;0.0;0
2024;Biologie/Ecologie,Numérique et Sciences Informatiques;Licence Formation générale aux métiers de l ingénieur;0;0.0;0
2024;Biologie/Ecologie,Physique-Chimie Spécialité;BTS Service;180;81.0;20
2024;Biologie/Ecologie,Physique-Chimie Spécialité;Licence L.AS;740;188.0;66
2024;Biologie/Ecologie,Physique-Chimie Spécialité;Licence Mathématiques et informatique;0;0.0;0
2024;Biologie/Ecologie,Physique-Chimie Spécialité;Licence Pluri Sciences fondamentales et applications;0;0.0;0
2024;Biologie/Ecologie,Sciences Economiques et Sociales Spécialité;Licence Pluri Sciences de la vie, de la santé, de la terre et de l univers;2;0.0;0
