cpge_type,panier_name,school_name,city,department,taux_integration_pct,moyenne_bac,moyenne_multi_ans_pct,rang_multi_ans,parcoursup
ECG - Mathématiques approfondies + ESH,Top 8,Alexandre-Dumas (ex-Florent-Schmitt),St-Cloud,92,,,,,oui
ECG - Mathématiques approfondies + ESH,Top 8,Gaston-Berger,Lille,59,,,,,oui
ECG - Mathématiques approfondies + ESH,Top 8,Aliénor d'Aquitaine,Poitiers,86,,,,,oui
ECG - Mathématiques approfondies + ESH,Top 8,Claude-Fauriel,St-Etienne,42,,,,,oui
ECG - Mathématiques approfondies + ESH,Top 8,La Nativité,Aix-en-Provence,13,,,,,oui
ECG - Mathématiques approfondies + ESH,Top 8,Marguerite-Jauzelon (ex-Bellepierre),St-Denis-de-la-Réunion,974,,,,,oui
ECG - Mathématiques approfondies + ESH,Top 8,Philippine-Duchesne Itec-Boisfleury,Grenoble,38,,,,,oui
ECG - Mathématiques approfondies + ESH,Top 8,Vernet,Valence,26,,,,,oui
ECG - Mathématiques approfondies + ESH,Top 8,WeiD Prépa,Paris,75,,,,,non
ECG - Mathématiques approfondies + HGG,HEC,Henri-IV,Paris,75,52,,51.5,,oui
ECG - Mathématiques approfondies + HGG,HEC,Louis-le-Grand,Paris,75,47.7,,47.8,3e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Ste-Geneviève,Versailles,78,41.3,,48.6,2e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Stanislas,Paris,75,40,,32.8,4e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,ND-du-Grandchamp,Versailles,78,36.5,,32.6,5e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Sainte-Marie,Lyon,69,29.4,,30.9,6e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Saint-Louis,Paris,75,20.8,,17.5,8e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Pierre-de-Fermat,Toulouse,31,20,,8.6,10e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Intégrale,Paris,75,18.8,,6.8,14e/89,non
ECG - Mathématiques approfondies + HGG,HEC,Chartreux,Lyon,69,12.5,,6.1,16e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Hoche,Versailles,78,12.5,,26.4,7e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Le Parc,Lyon,69,11.4,,10.3,9e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,St-Jean-de-Passy,Paris,75,11,,7.9,11e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Ipesup,Paris,75,8,,7.1,13e/89,non
ECG - Mathématiques approfondies + HGG,HEC,Janson-de-Sailly,Paris,75,7,,6.3,15e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,ND-des-Minimes,Lyon,69,5.3,,2.5,24e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Champollion,Grenoble,38,4.8,,1.9,26e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Michelet,Vanves,92,4.7,,4.6,18e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Chateaubriand,Rennes,35,4.3,,4,20e/89,oui
ECG - Mathématiques approfondies + HGG,HEC,Saint-Jean,Douai,59,4.3,,4.7,17e/89,oui
